"","X1","station","index","bicycle_count","bus_count","car_count","filename","motorcycle_count","person_count","s3url","time","truck_count","camcode","year","month","day","date","Assets_All_Index","latitude","longitude","region","rotation","street_address","time_pacific","time_est"
"132",44007,NA,1007788,0,0,3,"2020-12-28-18-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-28-18-22-42-enc_104_140_cam1.jpg",2020-12-28 18:22:42,0,NA,2020,12,28,"12/28/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-28 10:22:42,10:22:42
"133",44009,NA,905115,0,0,7,"2020-12-15-19-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-15-19-22-42-enc_104_140_cam1.jpg",2020-12-15 19:22:42,1,NA,2020,12,15,"12/15/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-15 11:22:42,11:22:42
"134",44010,NA,881740,0,0,4,"2020-12-12-20-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-12-20-22-42-enc_104_140_cam1.jpg",2020-12-12 20:22:42,0,NA,2020,12,12,"12/12/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-12 12:22:42,12:22:42
"135",44013,NA,906111,0,0,1,"2020-12-15-22-22-43-enc_104_140_cam1.jpg",0,0,"out/2020-12-15-22-22-43-enc_104_140_cam1.jpg",2020-12-15 22:22:43,0,NA,2020,12,15,"12/15/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-15 14:22:43,14:22:43
"136",44015,NA,984780,0,0,6,"2020-12-25-20-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-25-20-22-42-enc_104_140_cam1.jpg",2020-12-25 20:22:42,0,NA,2020,12,25,"12/25/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-25 12:22:42,12:22:42
"137",44016,NA,800801,0,0,2,"2020-12-02-15-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-02-15-22-42-enc_104_140_cam1.jpg",2020-12-02 15:22:42,0,NA,2020,12,2,"12/2/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-02 07:22:42,07:22:42
"138",44017,NA,888273,0,0,1,"2020-12-13-16-22-43-enc_104_140_cam1.jpg",0,0,"out/2020-12-13-16-22-43-enc_104_140_cam1.jpg",2020-12-13 16:22:43,0,NA,2020,12,13,"12/13/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-13 08:22:43,08:22:43
"139",44018,NA,847103,0,0,0,"2020-12-08-11-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-08-11-22-42-enc_104_140_cam1.jpg",2020-12-08 11:22:42,0,NA,2020,12,8,"12/8/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-08 03:22:42,03:22:42
"140",44022,NA,806749,0,0,0,"2020-12-03-09-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-03-09-22-42-enc_104_140_cam1.jpg",2020-12-03 09:22:42,0,NA,2020,12,3,"12/3/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-03 01:22:42,01:22:42
"141",44023,NA,973888,0,0,0,"2020-12-24-11-22-43-enc_104_140_cam1.jpg",0,0,"out/2020-12-24-11-22-43-enc_104_140_cam1.jpg",2020-12-24 11:22:43,0,NA,2020,12,24,"12/24/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-24 03:22:43,03:22:43
"142",44024,NA,926612,0,0,0,"2020-12-18-12-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-18-12-22-42-enc_104_140_cam1.jpg",2020-12-18 12:22:42,0,NA,2020,12,18,"12/18/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-18 04:22:42,04:22:42
"143",44025,NA,973228,0,0,0,"2020-12-24-09-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-24-09-22-42-enc_104_140_cam1.jpg",2020-12-24 09:22:42,0,NA,2020,12,24,"12/24/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-24 01:22:42,01:22:42
"144",44028,NA,890265,0,0,2,"2020-12-13-22-22-42-enc_104_140_cam1.jpg",0,1,"out/2020-12-13-22-22-42-enc_104_140_cam1.jpg",2020-12-13 22:22:42,0,NA,2020,12,13,"12/13/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-13 14:22:42,14:22:42
"145",44029,NA,983790,0,0,0,"2020-12-25-17-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-25-17-22-42-enc_104_140_cam1.jpg",2020-12-25 17:22:42,0,NA,2020,12,25,"12/25/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-25 09:22:42,09:22:42
"146",44030,NA,825917,0,0,7,"2020-12-05-19-22-43-enc_104_140_cam1.jpg",0,0,"out/2020-12-05-19-22-43-enc_104_140_cam1.jpg",2020-12-05 19:22:43,0,NA,2020,12,5,"12/5/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-05 11:22:43,11:22:43
"147",44031,NA,1006148,0,1,0,"2020-12-28-13-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-28-13-22-42-enc_104_140_cam1.jpg",2020-12-28 13:22:42,0,NA,2020,12,28,"12/28/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-28 05:22:42,05:22:42
"148",44033,NA,1009428,0,0,7,"2020-12-28-23-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-28-23-22-42-enc_104_140_cam1.jpg",2020-12-28 23:22:42,0,NA,2020,12,28,"12/28/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-28 15:22:42,15:22:42
